实体1,实体2,关系
 数据压缩, 语音编码,
 数据压缩, 重复数据删除,
 数据压缩, 霍夫曼编码,
 数据压缩, 音讯压缩 (格式),
 检测论, BLAST (无线通信),
 检测论, ROC曲线,
 检测论, 信号检测理论,
 检测论, 极小化极大算法,
 算法信息论, 最小描述长度,
 算法信息论, 柯氏复杂性,
 编码理论, 低密度同位检查累积码,
 编码理论, 低密度奇偶检查码,
 编码理论, 信道编码,
 编码理论, 克拉夫特不等式,
 编码理论, 分布式信源编码,
 编码理论, 分组码,
 编码理论, 前置码,
 编码理论, 喷泉码,
 编码理论, 多项式码,
 编码理论, 奇偶检验矩阵,
 编码理论, 孤子分布,
 编码理论, 对偶码,
 编码理论, 循环码,
 编码理论, 抹除码,
 编码理论, 李距离,
 编码理论, 汉明距离,
 编码理论, 汉明重量,
 编码理论, 生成矩阵,
 编码理论, 卢比变换码,
 编码理论, 编码理论,
 编码理论, 网络编码,
 编码理论, 置信度传播,
 编码理论, 莱文斯坦距离,
 编码理论, 译码方法,
 编码理论, 霍夫曼编码,
 编码理论, 非累赘取样编码,
 网络性能, TCP拥塞控制,
 网络性能, 带宽时延乘积,
 网络性能, 广域网优化,
 网络性能, 显式拥塞通知,
 Wiki软件, DidiWiki,
 Wiki软件, DokuWiki,
 Wiki软件, HDwiki,
 Wiki软件, OddMuse,
 Wiki软件, PukiWiki,
 Wiki软件, SushiWiki,
 Wiki软件, Wiki软件,
 Wiki软件, Wiki软件比较,
 Wiki软件, YukiWiki,
 协作软件, 协同过滤,
 协作软件, 基于Web的分布式编写和版本控制,
 版本控制系统, Bitbucket,
 版本控制系统, Fossil,
 版本控制系统, GitHub,
 版本控制系统, GNU Savannah,
 版本控制系统, Google开发人员,
 版本控制系统, JavaForge,
 版本控制系统, KDESvn,
 版本控制系统, Mercurial,
 版本控制系统, Monotone,
 版本控制系统, SourceForge,
 版本控制系统, Subversion,
 版本控制系统, Team Foundation Server,
 版本控制系统, Template,
 版本控制系统, Time Machine,
 版本控制系统, Visual SourceSafe,
 版本控制系统, 修订标签,
 版本控制系统, 协作版本系统,
 版本控制系统, 版本控制软件比较,
 版本控制系统, 发布版本通知,
 版本控制系统, 相依性地狱,
 版本控制系统, 自由软件托管服务比较,
 版本控制系统, 软件配置管理,
 自由内容管理系统, Coderity,
 自由内容管理系统, MediaWiki,
 自由内容管理系统, Omeka,
 自由内容管理系统, OpenKM,
 自由内容管理系统, TYPO3,
 自由内容管理系统, Zope,
 开放源码内容管理系统, MojoPortal,
 开放源码内容管理系统, Umbraco,
 SQL, CLSQL,
 SQL, HSQLDB,
 SQL, PL-SQL,
 SQL, SQL,
 SQL, SQL语法,
 SQL, SQL资料隐码攻击,
 SQL, Transact-SQL,
 SQL, Windows管理规范查询语言,
 SQL, 参数化查询,
 SQL, 数据查询语言,
 SQL, 视图,
 SQL, 数据定义语言,
 SQL, 数据控制语言,
 SQL, 数据操纵语言,
 对象关系映射, Doctrine (PHP),
 对象关系映射, MyBatis,
 对象关系映射, SQLAlchemy,
 对象关系映射, 对象关系映射软件列表,
 数据库索引技术, B树,
 数据库索引技术, R+树,
 数据库索引技术, 倒排索引,
 开源数据库管理系统, Apache Derby,
 开源数据库管理系统, Berkeley DB,
 开源数据库管理系统, Cassandra,
 开源数据库管理系统, CouchDB,
 开源数据库管理系统, CUBRID,
 开源数据库管理系统, Dbm,
 开源数据库管理系统, Firebird (数据库),
 开源数据库管理系统, HSQLDB,
 开源数据库管理系统, InfluxDB,
 开源数据库管理系统, Ingres,
 开源数据库管理系统, Kexi,
 开源数据库管理系统, LevelDB,
 开源数据库管理系统, MariaDB,
 开源数据库管理系统, MaxDB,
 开源数据库管理系统, Mnesia,
 开源数据库管理系统, MongoDB,
 开源数据库管理系统, MySQL,
 开源数据库管理系统, OPUS,
 开源数据库管理系统, PostgreSQL,
 开源数据库管理系统, Redis,
 开源数据库管理系统, SQLite,
 自动驾驶汽车, Ligier EZ10,
 自动驾驶汽车, Mobileye,
 自动驾驶汽车, TomTom,
 自动驾驶汽车, Waymo,
 自动驾驶汽车, 自动驾驶汽车,
 先驱者系列, 先锋6、7、8和9号,
 先驱者系列, 先锋计划,
 先驱者系列, 先驱者镀金铝板,
 先驱者系列, 先驱者0号,
 先驱者系列, 先驱者10号,
 先驱者系列, 先驱者11号,
 先驱者系列, 先驱者1号,
 先驱者系列, 先驱者2号,
 先驱者系列, 先驱者3号,
 先驱者系列, 先驱者4号,
 先驱者系列, 先驱者5号,
 先驱者系列, 先驱者H号,
 先驱者系列, 先驱者P-1(W)号,
 先驱者系列, 先驱者P-3 (X)号,
 先驱者系列, 先驱者P-30 (Y)号,
 先驱者系列, 先驱者P-31(Z)号,
 先驱者系列, 先驱者金星计划,
 冥王星探测器, 冥王星-古柏带特快车,
 冥王星探测器, 新视野号,
 土星探测器, 先驱者10号,
 土星探测器, 卡西尼-惠更斯号,
 土星探测器, 土卫六－土星系统任务,
 土星探测器, 土星大气进入器,
 土星探测器, 惠更斯号,
 土星探测器, 旅行者1号,
 土星探测器, 蜻蜓号,
 土星探测器, 阿尔戈号 (探测器),
 天王星探测器, ODINUS,
 天王星探测器, 天王星轨道探测器,
 天王星探测器, 旅行者2号,
 探索者系列, 探索者计划,
 探险者计划, Template,
 探险者计划, 乌呼鲁卫星,
 探险者计划, 亚毫米波天文卫星,
 探险者计划, 先进成分探测器,
 探险者计划, 国际紫外线探测卫星,
 探险者计划, 太阳过渡层成像光谱仪卫星,
 探险者计划, 威尔金森微波各向异性探测器,
 探险者计划, 广域红外线巡天探测卫星,
 探险者计划, 拉马第高能太阳光谱成像探测器,
 探险者计划, 探险者1号,
 探险者计划, 星系演化探测器,
 探险者计划, 星际边界探测器,
 探险者计划, 核光谱望远镜阵列,
 探险者计划, 罗西X射线计时探测器,
 探险者计划, 远紫外分光探测器,
 探险者计划, 雨燕卫星,
 旅行者系列, 旅行者1号,
 旅行者系列, 旅行者2号,
 旅行者系列, 旅行者金唱片,
 旅行者系列, 旅行者金唱片内容,
 旅行者系列, 爱德华·C·斯通,
 行星探测车, 月球车,
 行星探测车, 火星车,
 计划中的太空探测器, MetNet,
 计划中的太空探测器, 土卫六－土星系统任务,
 计划中的太空探测器, 天鹅座宇宙飞船,
 计划中的太空探测器, 太阳轨道载具,
 计划中的太空探测器, 月球快递,
 计划中的太空探测器, 木星冰月探测器,
 计划中的太空探测器, 木卫二－木星系统任务,
 计划中的太空探测器, 欧几里得卫星,
 计划中的太空探测器, 突破摄星,
 超光速, 契忍可夫辐射,
 超光速, 波前速度,
 超光速, 相速度,
 超光速, 瞬间移动,
 超光速, 群速度,
 超光速, 讯号速度,
 超光速, 超光速,
 超光速, 超光速运动,
 机率复杂度理论, 机率图灵机,
 统计随机性, 随机性,
 时间旅行, TARDIS,
 时间旅行, Template,
 时间旅行, 封闭类时曲线,
 时间旅行, 快子,
 时间旅行, 时序保护猜想,
 时间旅行, 时间倒流,
 时间旅行, 时间悖论,
 时间旅行, 时间旅行,
 时间旅行, 时光机 (哆啦A梦),
 时间旅行, 时空旅人,
 时间旅行, 祖父悖论,
 时间旅行, 约翰·提托,
 时间旅行, 虫洞,
 时间旅行, 诺维科夫自洽性原则,
 时间旅行, 迪罗伦时光机,
 目的论, 大撕裂,
 目的论, 定向演化,
 目的论, 目的论,
 目的论, 目的论论证,
 随机性, M-sequence,
 随机性, 五人法则,
 随机性, 伪随机序列,
 随机性, 彩票摇奖机,
 随机性, 拉斯维加斯算法,
 随机性, 掷硬币,
 随机性, 水塘抽样,
 随机性, 无限猴子定理,
 随机性, 百万乱数表,
 随机性, 算法信息论,
 随机性, 随机函数,
 随机性, 随机变量,
 随机性, 随机场,
 随机性, 随机性,
 随机性, 随机数,
 随机性, 随机数列,
 随机性, 随机森林,
 因果律, 其他条件不变,
 因果律, 只因少了一颗钉,
 因果律, 多米诺骨牌效应,
 因果律, 格兰杰因果关系,
 因果律, 解释,
 软件质量, TestLink,
 软件质量, 向后移植,
 软件质量, 失效评定,
 软件质量, 故障容许度,
 软件质量, 生命攸关系统,
 软件质量, 第二系统效应,
 软件质量, 软件质量管理,
 软件质量, 软件熵,
 软件质量, 软件验证及确认,
 软件质量, 软件危机,
 软件质量, 软件质量,
 软件质量, 软件质量保证,
 软件质量, 长期支持,
 静态代码分析工具, Checkstyle,
 静态代码分析工具, Clang,
 静态代码分析工具, Cscope,
 静态代码分析工具, Ctags,
 静态代码分析工具, FindBugs,
 静态代码分析工具, Polyspace,
 静态代码分析工具, SonarQube,
 静态代码分析工具, ThreadSafe,
 回归分析, ARIMA模型,
 回归分析, ARMA模型,
 回归分析, Lasso算法,
 回归分析, RATS,
 回归分析, 倾向评分匹配,
 回归分析, 偏最小二乘回归,
 回归分析, 决定系数,
 回归分析, 分位数回归,
 回归分析, 分层广义线性模型,
 回归分析, 可解释变异,
 回归分析, 向量自回归模型,
 回归分析, 多重共线性,
 回归分析, 工具变量,
 回归分析, 广义线性模型,
 回归分析, 径向基函数网络,
 回归分析, 曲线拟合,
 回归分析, 最小二乘法,
 回归分析, 泊松回归,
 回归分析, 泰尔－森估算,
 回归分析, 移动平均模型,
 回归分析, 线性回归,
 回归分析, 线性预测,
 回归分析, 自变量和因变量,
 回归分析, 自回归模型,
 回归分析, 设计矩阵,
 回归分析, 赤池信息量准则,
 回归分析, 回归分析,
 回归分析, 过适,
 回归分析, 逻辑回归,
 回归分析, 零膨胀,
 数学优化软件, AMPL,
 数学优化软件, COIN-OR,
 数学优化软件, GNU线性规划工具集,
 数学优化软件, Maple,
 数学优化软件, Wolfram Mathematica,
 最佳控制, LQR控制器,
 最佳控制, 协态方程,
 最佳控制, 哈密顿量 (最佳控制),
 最佳控制, 庞特里亚金最大化原理,
 最佳控制, 最优控制,
 最佳控制, 罗斯π引理,
 最佳控制, 起停式控制,
 最佳控制, 双设定点控制,
 算法, CYK算法,
 算法, DPLL算法,
 算法, ElGamal加密算法,
 算法, Flood fill,
 算法, ID3算法,
 算法, K-平均算法,
 算法, LALR语法分析器,
 算法, Move-to-front transform,
 算法, Paxos算法,
 算法, PSRS算法,
 算法, Quorum (分布式系统),
 算法, RSA加密算法,
 算法, Thompson构造法,
 算法, Tomasulo算法,
 算法, 交叉 (遗传算法),
 算法, 优先编码器,
 算法, 伪代码,
 算法, 伯利坎普－韦尔奇算法,
 算法, 先进不出,
 算法, 先验算法,
 算法, 全排列生成算法,
 算法, 凸包,
 算法, 分治法,
 算法, 匹配追踪,
 算法, 原地算法,
 算法, 启发式搜索,
 算法, 回溯法,
 算法, 埃拉托斯特尼筛法,
 算法, 处理器亲和性,
 算法, 大英博物馆算法,
 算法, 奎因－麦克拉斯基算法,
 算法, 密码强度,
 算法, 左偏树,
 算法, 差异进化算法,
 算法, 布斯乘法算法,
 算法, 布雷森汉姆直线算法,
 算法, 并行排序,
 算法, 德卡斯特里奥算法,
 算法, 德布尔算法,
 算法, 快取文件置换机制,
 算法, 拉斯维加斯算法,
 算法, 数据结构与算法术语列表,
 算法, 施特拉森算法,
 算法, 星期的计算,
 算法, 最大期望算法,
 算法, 最小圆覆盖,
 算法, 最小生成树,
 算法, 最邻近搜索,
 算法, 最长公共子串,
 算法, 最长公共子序列,
 算法, 梁友栋-柏世奇算法,
 算法, 模拟退火,
 算法, 模糊聚类,
 算法, 水塘抽样,
 算法, 洗牌交换连接,
 算法, 流加密,
 算法, 画家算法,
 算法, 确定性算法,
 算法, 碰撞侦测,
 算法, 禁忌搜索,
 算法, 秦九韶算法,
 算法, 算法,
 算法, 算法与数据结构词典,
 算法, 算法交易,
 算法, 算法导论,
 算法, 在线算法,
 算法, 线性对数,
 算法, 结构归纳法,
 算法, 莱文斯坦距离,
 算法, 萤火虫算法,
 算法, 蚁群算法,
 算法, 装置指纹,
 算法, 语音算法,
 算法, 贪心法,
 算法, 速率单调,
 算法, 遗传算法,
 算法, 量子退火,
 算法, 长除法,
 算法, 除法器,
 算法, 随机抽样一致,
 算法, 马尔可夫算法,
 算法, 黄金分割搜索,
 信息论, MIMO,
 信息论, 互信息,
 信息论, 企业信息化,
 信息论, 优先编码器,
 信息论, 信息冗余,
 信息论, 信息哲学,
 信息论, 信息瓶颈,
 信息论, 信息论,
 信息论, 信源编码定理,
 信息论, 信道容量,
 信息论, 克劳德·香农,
 信息论, 分布式信源编码,
 信息论, 吞吐量,
 信息论, 哈里·奈奎斯特,
 信息论, 唯信息论,
 信息论, 压缩感知,
 信息论, 对称信道,
 信息论, 带宽,
 信息论, 广域信息论,
 信息论, 引力的熵力假说,
 信息论, 最小权限原则,
 信息论, 有噪信道编码定理,
 信息论, 条件熵,
 信息论, 柯氏复杂性,
 信息论, 梅特卡夫定律,
 信息论, 熵 (信息论),
 信息论, 熵率,
 信息论, 相对熵,
 信息论, 算法信息论,
 信息论, 编辑距离,
 信息论, 纳特,
 信息论, 编码率,
 信息论, 网络编码,
 信息论, 自信息,
 信息论, 费希尔信息,
 信息论, 费雪信息,
 信息论, 过采样,
 信息论, 采样定理,
 信息论, 量子计算,
 信息论, 随机数生成,
 信息论, 频谱效率,
 内容管理系统, Beyond Compare,
 内容管理系统, CMS Made Simple,
 内容管理系统, CMSimple XH,
 内容管理系统, CMSimple,
 内容管理系统, Coderity,
 内容管理系统, Collablog,
 内容管理系统, Drupal,
 内容管理系统, ENQUIRE,
 内容管理系统, Habari,
 内容管理系统, Joomla!,
 内容管理系统, LocalWiki,
 内容管理系统, LogicalDOC,
 内容管理系统, Movable Type,
 内容管理系统, Omeka,
 内容管理系统, OpenCMS,
 内容管理系统, PivotX,
 内容管理系统, Plone,
 内容管理系统, SilverStripe,
 内容管理系统, SupeSite,
 内容管理系统, TYPO3,
 内容管理系统, UCoz,
 内容管理系统, WebGUI,
 内容管理系统, WikkaWiki,
 内容管理系统, WordPress,
 内容管理系统, XOOPS Cube,
 内容管理系统, XOOPS,
 内容管理系统, XWiki,
 内容管理系统, Zikula,
 内容管理系统, 内容管理系统,
 内容管理系统, 内容管理系统列表,
 内容管理系统, 曼波,
 推荐系统, Sci-Hub,
 推荐系统, Yelp,
 推荐系统, 协同过滤,
 推荐系统, 推荐系统,
 推荐系统, 烂西红柿,
 数据库管理系统, Adaptive Server Enterprise,
 数据库管理系统, Borland数据引擎,
 数据库管理系统, Draft,
 数据库管理系统, IBM DB2,
 数据库管理系统, InterBase,
 数据库管理系统, LibreOffice Base,
 数据库管理系统, Mckoi Database,
 数据库管理系统, Microsoft Access,
 数据库管理系统, Microsoft SQL Server,
 数据库管理系统, OpenOffice.org Base,
 数据库管理系统, Oracle数据库,
 数据库管理系统, RAC,
 数据库管理系统, SAP HANA,
 数据库管理系统, Spanner (数据库),
 数据库管理系统, SQL Server Express,
 数据库管理系统, Template,
 数据库管理系统, Windows Internal Database,
 数据库管理系统, 乐观并发控制,
 数据库管理系统, 二进制大型对象,
 数据库管理系统, 关系 (数据库),
 数据库管理系统, 关系型数据库管理系统比较,
 数据库管理系统, 关系键,
 数据库管理系统, 列式数据库,
 数据库管理系统, 字符大型对象,
 数据库管理系统, 存储程序,
 数据库管理系统, 悲观并发控制,
 数据库管理系统, 数据冗余,
 数据库管理系统, 数据库管理员,
 数据库管理系统, 数据库管理系统,
 数据库管理系统, 数据库索引,
 数据库管理系统, 文件导向的数据库,
 数据库管理系统, 时间数据库,
 数据库管理系统, 数据库理论,
 数据库管理系统, 关系数据库管理系统,
 管理信息系统, Microsoft Project,
 管理信息系统, Odoo,
 管理信息系统, Windows管理规范,
 管理信息系统, WINGs Display Manager,
 管理信息系统, XMind,
 管理信息系统, 主管支持系统,
 管理信息系统, 产品生命周期管理 (市场),
 管理信息系统, 企业资源计划,
 管理信息系统, 供货商管理库存系统,
 管理信息系统, 保险应用架构,
 管理信息系统, 决策支持系统,
 管理信息系统, 制造资源计划,
 管理信息系统, 商业过程管理,
 管理信息系统, 客户关系管理,
 管理信息系统, 工作流技术,
 管理信息系统, 收益管理,
 管理信息系统, 案例推论,
 管理信息系统, 楼盘管理系统,
 管理信息系统, 知识管理系统,
 管理信息系统, 策略信息系统,
 管理信息系统, 管理信息系统,
 管理信息系统, 信息安全管理系统,
 管理信息系统, 计算机整合制造,
 系统软件, Ad-Aware,
 系统软件, AutoRun,
 系统软件, BartPE,
 系统软件, CrossOver,
 系统软件, Driver Booster,
 系统软件, EasyInstall,
 系统软件, EXeScope,
 系统软件, Gearman,
 系统软件, PlayOnLinux,
 系统软件, R-Studio,
 系统软件, Spybot-S&D,
 系统软件, TuneUp Utilities,
 系统软件, Windows优化大师,
 系统软件, Windows预安装环境,
 系统软件, Wise Care 365,
 系统软件, Wise Disk Cleaner,
 系统软件, Wise Registry Cleaner,
 系统软件," Yellowdog Updater, Modified",
 系统软件, 易搜比软件,
 系统软件, 服务器,
 系统软件, 服务包,
 系统软件, 申根信息系统,
 系统软件, 监督程序,
 系统软件, 直译器,
 系统软件, 系统程序设计,
 系统软件, 系统软件,
 系统软件, 网络信息服务,
 系统软件, 网页服务器,
 系统软件, 翻译程序,
 系统软件, 虚拟主机,
 系统软件, 屏幕保护,
 系统软件, 超级兔子,
 系统软件, 软件包管理系统,
 系统软件, 还原光盘,
 系统软件, 鲁大师,
 概率分布, 卡方分布,
 概率分布, 多元正态分布,
 概率分布, 孤子分布,
 概率分布, 德国坦克问题,
 概率分布, 条件概率分布,
 概率分布, 柯西分布,
 概率分布, 概率分布,
 概率分布, 正态分布,
 概率分布, 稳定分布,
 概率分布, 退化分布,
 概率分布, 离散型均匀分布,
 统一塑模语言, 伊瓦尔·雅各布布布森,
 统一塑模语言, 对象管理组织,
 统一塑模语言, 用例图,
 统一塑模语言, 系统建模语言,
 统一塑模语言, 葛来迪·布区,
 统一塑模语言, 詹姆士·兰宝,
 中国机器人, 中国机器人,
 中国机器人, 中国科研潜艇,
 中国机器人, 中国空间探测器,
 日本机器人, AIBO,
 日本机器人, ASIMO,
 日本机器人, HAL (动力服),
 日本机器人, HRP-4C,
 日本机器人, Kirobo,
 日本机器人, Pepper (机器人),
 日本机器人, QRIO,
 日本机器人, Sota (机器人),
 日本机器人, 日本机器人,
 美国机器人, Kismet,
 美国机器人, 约翰霍普金斯野兽,
 美国机器人, 美国机器人,
 美国机器人, 美国太空总署探测器(子分类),
 美国机器人, 骑士视界 (机器人),
 中国机器人, 先行者,
 中国机器人, 全国大学生机器人大赛,
 日本机器人, AIBO,
 日本机器人, ASIMO,
 日本机器人, HAL (动力服),
 日本机器人, HRP-4C,
 日本机器人, Kirobo,
 日本机器人, Pepper (机器人),
 日本机器人, QRIO,
 日本机器人, Sota (机器人),
 美国机器人, Kismet,
 美国机器人, 约翰霍普金斯野兽,
 美国机器人, 骑士视界 (机器人),
 导弹制导, 主动雷达导引,
 导弹制导, 乘波导引,
 导弹制导, 全球定位系统,
 导弹制导, 半主动雷达制导,
 导弹制导, 圆概率误差,
 导弹制导, 导弹制导,
 导弹制导, 射后不理,
 导弹制导, 惯性导航系统,
 导弹制导, 瞄准线半自动指令,
 导弹制导, 瞄准线指令,
 导弹制导, 红外线导引,
 无人机, ADM-20诱饵无人机,
 无人机, IAI豹,
 无人机, MQ-1捕食者无人攻击机,
 无人机, MQ-8火力侦察兵无人机,
 无人机, MQ-9收割者侦察机,
 无人机, P.1HH锤头无人机,
 无人机, RQ-11渡鸦式无人侦察机,
 无人机, RQ-170侦查机,
 无人机, RQ-4全球鹰侦察机,
 无人机, SR-72侦察机,
 无人机, X-33试验机,
 无人机, X-43试验机,
 无人机, X-47A飞马试验机,
 无人机, X-51乘波者试验机,
 无人机, 云影无人机,
 无人机, 候鸟无人机,
 无人机, 利剑无人作战飞机,
 无人机, 各国多轴飞行器监管情况,
 无人机, 哈比无人机,
 无人机, 复仇者无人驾驶战斗机,
 无人机, 大疆 Mavic Pro,
 无人机, 大疆精灵4,
 无人机, 奥拉无人作战飞机,
 无人机, 彩虹五号无人机,
 无人机, 扫描鹰无人机,
 无人机, 搜索者侦察机,
 无人机, 暗剑无人机,
 无人机, 泽弗,
 无人机, 海上战术侦搜大队,
 无人机, 无人地面载具,
 无人机, 无人战斗航空载具,
 无人机, 无人机,
 无人机, 无人水下载具,
 无人机, 无人水面载具,
 无人机, 无人航空载具,
 无人机, 神经元无人作战飞机,
 无人机, 红雀微型无人机,
 无人机, 翔龙无人机,
 无人机, 翼龙系列无人机,
 无人机, 自主水下载具,
 无人机, 赫耳墨斯900,
 无人机, 遥控飞机,
 无人机, 锐鸢无人机,
 无人机, 雷神无人机,
 无人机, 腾云无人机,
 无人机, 高超音速武器,
 无人机, 鳐鱼无人机,
 无人机无人机制造商, 大疆创新,
 无人机无人机制造商, 经纬航天,
 潜艇机器人, 海神号 (水下航行器),
 潜艇机器人, 自主水下载具,
 潜艇机器人, 遥控潜水器,
 无人地面载具, Ligier EZ10,
 无人地面载具, 无人地面载具,
 无人地面载具, 能量自律战术机器,
 无人地面载具, 遥控战车,
 无人地面载具, 龙行者,
 空间探测器, MAVEN,
 空间探测器, Template,
 空间探测器, 伽利略号探测器,
 空间探测器, 信使号,
 空间探测器, 先锋计划,
 空间探测器, 卡西尼-惠更斯号,
 空间探测器, 土星探测,
 空间探测器, 天王星探测,
 空间探测器, 探索者计划,
 空间探测器, 斯基亚帕雷利EDM登陆器,
 空间探测器, 新视野二号,
 空间探测器, 新视野号,
 空间探测器, 星尘号,
 空间探测器, 曙光号,
 空间探测器, 会合-舒梅克号,
 空间探测器, 木星探测,
 空间探测器, 朱诺号,
 空间探测器, 水手10号,
 空间探测器, 水手3号,
 空间探测器, 水手4号,
 空间探测器, 水手5号,
 空间探测器, 水手6号,
 空间探测器, 水手7号,
 空间探测器, 水手8号,
 空间探测器, 水手9号,
 空间探测器, 水手号计划,
 空间探测器, 海王星探测,
 空间探测器, 深空一号,
 空间探测器, 火星微量气体任务卫星,
 空间探测器, 福布斯－土壤,
 空间探测器, 空间探测器,
 空间探测器, 罗塞塔号,
 空间探测器, 航海家计划,
 空间探测器, 菲莱登陆器,
 空间探测器, 起源号,
 空间探测器, 隼鸟号,
 军用机器人, 30毫米DS30M Mk 2小口径机炮,
 军用机器人, 利剑无人作战飞机,
 军用机器人, 哥利亚遥控炸弹,
 军用机器人, 守门员近迫武器系统,
 军用机器人, 拆弹机械人,
 军用机器人, 方阵近迫武器系统,
 军用机器人, 木牛流马,
 军用机器人, 机械骡,
 军用机器人, 波士顿机械狗,
 军用机器人, 神经元无人作战飞机,
 军用机器人, 能量自律战术机器,
 军用机器人, 雷神无人机,
 军用机器人, 鳐鱼无人机,
 军用机器人, 龙行者,
 Prolog, Prolog,
 Prolog, Visual Prolog,
 时间旅行, TARDIS,
 时间旅行, Template,
 时间旅行, 封闭类时曲线,
 时间旅行, 快子,
 时间旅行, 时序保护猜想,
 时间旅行, 时间倒流,
 时间旅行, 时间悖论,
 时间旅行, 时间旅行,
 时间旅行, 时光机 (哆啦A梦),
 时间旅行, 时空旅人,
 时间旅行, 祖父悖论,
 时间旅行, 约翰·提托,
 时间旅行, 虫洞,
 时间旅行, 诺维科夫自洽性原则,
 时间旅行, 迪罗伦时光机,
 目的论, 大撕裂,
 目的论, 定向演化,
 目的论, 目的论,
 目的论, 目的论论证,
 随机性, M-sequence,
 随机性, 五人法则,
 随机性, 伪随机序列,
 随机性, 彩票摇奖机,
 随机性, 拉斯维加斯算法,
 随机性, 掷硬币,
 随机性, 水塘抽样,
 随机性, 无限猴子定理,
 随机性, 百万乱数表,
 随机性, 算法信息论,
 随机性, 随机函数,
 随机性, 随机变量,
 随机性, 随机场,
 随机性, 随机性,
 随机性, 随机数,
 随机性, 随机数列,
 随机性, 随机森林,
 小组过程, Template,
 小组过程, 交互记忆,
