title,label
 参数多态,newNode
 多型 (计算机科学),newNode
 泛型,newNode
 特设多态,newNode
 串行 (抽象数据型别),newNode
 关联数组,newNode
 堆栈,newNode
 多重关连数组,newNode
 容器 (抽象数据类型),newNode
 抽象数据型别,newNode
 生成器 (计算机编程),newNode
 迭代器,newNode
 队列,newNode
 集合 (计算机科学),newNode
 双椭圆曲线确定性随机数发生器,newNode
 平方取中法,newNode
 线性同余方法,newNode
 吉布斯采样,newNode
 并行退火,newNode
 拟蒙特卡罗方法,newNode
 控制变量法,newNode
 斯温森－王算法,newNode
 梅特罗波利斯－黑斯廷斯算法,newNode
 模拟退火,newNode
 粒子滤波器,newNode
 蒙地卡罗方法,newNode
 蒙特卡洛树搜索,newNode
 逆变换采样,newNode
 重要性采样,newNode
 分布滞后,newNode
 移动平均模型,newNode
 Draft,newNode
 出生-死亡过程,newNode
 利特尔法则,newNode
 处理器亲和性,newNode
 等候理论,newNode
 罗斯猜想,newNode
 队头阻塞,newNode
 分离原理,newNode
 部分可观察马可夫决策过程,newNode
 马可夫决策过程,newNode
 鲁棒控制,newNode
 半鞅,newNode
 维纳过程,newNode
 鞅 (概率论),newNode
 Thompson构造法,newNode
 下推自动机,newNode
 半自动机,newNode
 图灵机,newNode
 嵌入下推自动机,newNode
 嵌套堆栈自动机,newNode
 幂集构造,newNode
 摩尔型有限状态机,newNode
 有限状态机,newNode
 比哈姆-米德尔顿-莱文交通流量模型,newNode
 状态图,newNode
 状态转移表,newNode
 确定下推自动机,newNode
 确定有限状态自动机,newNode
 确定有限状态自动机最小化,newNode
 米利型有限状态机,newNode
 细胞自动机,newNode
 线性有界自动机,newNode
 自动机理论,newNode
 规则30,newNode
 非确定有限状态自动机,newNode
" B,C,K,W系统",newNode
 Beta范式,newNode
 Lambda立方体,newNode
 SKI组合子演算,newNode
 Λ演算,newNode
 不动点组合子,newNode
 匿名函数,newNode
 有类型λ演算,newNode
 构造演算,newNode
 柯里化,newNode
 简单类型λ演算,newNode
 类型居留问题,newNode
 系统F,newNode
 组合子逻辑,newNode
 蒙塔古语法,newNode
 规范化性质,newNode
 逻辑框架,newNode
 邱奇数,newNode
 高阶函数,newNode
 BHK释义,newNode
 ST类型论,newNode
 依赖类型,newNode
 值 (计算机科学),newNode
 协变与逆变,newNode
 原型程序设计,newNode
 合一,newNode
 同伦类型论,newNode
 型别安全,newNode
 型别构造器,newNode
 子类型,newNode
 定型环境,newNode
 开闭原则,newNode
 强弱型别,newNode
 数学结构,newNode
 新基础集合论,newNode
 柯里-霍华德同构,newNode
 直觉类型论,newNode
 类型推论,newNode
 类型擦除,newNode
 类型特征,newNode
 类型论,newNode
 类型转换,newNode
 组合范畴语法,newNode
 罗素公理体系,newNode
 里氏替换原则,newNode
 类型系统,newNode
 高阶逻辑,newNode
 鸭子类型,newNode
 NX级星舰,newNode
 曲速引擎,newNode
 阿库别瑞引擎,newNode
 伪随机性,newNode
 随机化算法,newNode
 RdRand,newNode
 梅森旋转算法,newNode
 随机数生成,newNode
 K-L 转换,newNode
 中餐馆过程,newNode
 主方程式,newNode
 伊藤引理,newNode
 伊藤过程,newNode
 伯努利过程,newNode
 停时,newNode
 几何布朗运动,newNode
 击中时,newNode
 可预测过程,newNode
 右连左极函数,newNode
 布朗桥,newNode
 布朗运动,newNode
 平稳过程,newNode
 循序可测过程,newNode
 查普曼-科尔莫戈罗夫等式,newNode
 泊松过程,newNode
 白噪声,newNode
 福克-普朗克方程,newNode
 维纳滤波,newNode
 维纳空间,newNode
 维纳－辛钦定理,newNode
 莱维过程,newNode
 费曼－卡茨公式,newNode
 赫斯特指数,newNode
 跳跃过程,newNode
 适应过程,newNode
 重对数律,newNode
 量子随机漫步,newNode
 随机分析,newNode
 随机变量的收敛,newNode
 随机图,newNode
 随机数列,newNode
 随机过程,newNode
 随机微分方程,newNode
 随机漫步,newNode
 马可夫过程,newNode
 马尔可夫性质,newNode
 马尔可夫链,newNode
 高斯噪声,newNode
 高斯过程,newNode
 Template,newNode
 布朗噪声,newNode
 噪声,newNode
 交替式图灵机,newNode
 判定器,newNode
 多带图灵机,newNode
 枚举器,newNode
 机率图灵机,newNode
 递归可枚举语言,newNode
 递归语言,newNode
 通用图灵机,newNode
 量子图灵机,newNode
 非确定型图灵机,newNode
 何积丰,newNode
 周巢尘,newNode
 达纳·斯科特,newNode
 Kripke结构,newNode
 一元谓词演算,newNode
 元组关系演算,newNode
 关系演算,newNode
 域关系演算,newNode
 存在图,newNode
 实体图,newNode
 希尔伯特演绎系统,newNode
 弗雷格命题演算,newNode
 相继式演算,newNode
 自然演绎,newNode
 蕴涵命题演算,newNode
 Amazon SimpleDB,newNode
 BSON,newNode
 CouchDB,newNode
 IBM Lotus Domino,newNode
 IBM Lotus Notes,newNode
 MongoDB,newNode
 文件导向的数据库,newNode
 契忍可夫辐射,newNode
 波前速度,newNode
 相速度,newNode
 瞬间移动,newNode
 群速度,newNode
 讯号速度,newNode
 超光速,newNode
 超光速运动,newNode
 随机性,newNode
 Acid1,newNode
 Acid2,newNode
 Acid3,newNode
 伊恩·希克森,newNode
 Set packing,newNode
 先决条件,newNode
 动态时序验证,newNode
 布尔可满足性问题,newNode
 形式化方法,newNode
 形式系统,newNode
 形式语义学,newNode
 形式验证,newNode
 循环不变量,newNode
 抽象释义,newNode
 指称语义,newNode
 断言 (程序),newNode
 时间分割测试,newNode
 概念验证,newNode
 生命攸关系统,newNode
 联合国大学国际软件技术研究所,newNode
 行为时序逻辑,newNode
 软件验证及确认,newNode
 通用唯一识别码,newNode
 集合论,newNode
 静态时序分析,newNode
 高低阶,newNode
 Bugzilla,newNode
 Fossil,newNode
 GitHub,newNode
 Gitlab,newNode
 GLPI,newNode
 JIRA,newNode
 Mantis,newNode
 Phabricator,newNode
 Redmine,newNode
 缺陷跟踪管理系统,newNode
 Gerrit,newNode
 Rietveld,newNode
 代码审查,newNode
 HP Quality Center,newNode
 Polyspace,newNode
 WebLOAD,newNode
 代码覆盖率,newNode
 Apache HTTP Server,newNode
 Caddy,newNode
 HAProxy,newNode
 Nginx,newNode
 Polipo,newNode
 Privoxy,newNode
 Squid (软件),newNode
 Tengine,newNode
 Traffic Server,newNode
 反向代理,newNode
 BitKeeper,newNode
 Git,newNode
 GNU arch,newNode
 分布式版本控制,newNode
 Bonsai (软件),newNode
 SVK,newNode
 修订控制系统,newNode
 Mozdev.org,newNode
 RubyForge,newNode
 Bigtable,newNode
 Cassandra,newNode
 LevelDB,newNode
 NoSQL,newNode
 Redis,newNode
 SequoiaDB,newNode
 Truncate,newNode
 Update,newNode
 删除 (SQL),newNode
 插入 (SQL),newNode
 查询 (SQL),newNode
 空值 (SQL),newNode
 连接 (SQL),newNode
 伽利略号探测器,newNode
 卡西尼-惠更斯号,newNode
 哈雷舰队,newNode
 乔托号,newNode
 堂吉诃德小行星防卫任务,newNode
 尤利西斯号,newNode
 彗星号,newNode
 星尘号,newNode
 曙光号,newNode
 会合-舒梅克号,newNode
 深度撞击号,newNode
 深空一号,newNode
 维加计划,newNode
 罗塞塔号,newNode
 菲莱登陆器,newNode
 隼鸟号,newNode
 露西号,newNode
 灵神星轨道器,newNode
 TARDIS,newNode
 封闭类时曲线,newNode
 快子,newNode
 时序保护猜想,newNode
 时间倒流,newNode
 时间悖论,newNode
 时间旅行,newNode
 时光机 (哆啦A梦),newNode
 时空旅人,newNode
 祖父悖论,newNode
 约翰·提托,newNode
 虫洞,newNode
 诺维科夫自洽性原则,newNode
 迪罗伦时光机,newNode
 大撕裂,newNode
 定向演化,newNode
 目的论,newNode
 目的论论证,newNode
 M-sequence,newNode
 五人法则,newNode
 伪随机序列,newNode
 彩票摇奖机,newNode
 拉斯维加斯算法,newNode
 掷硬币,newNode
 水塘抽样,newNode
 无限猴子定理,newNode
 百万乱数表,newNode
 算法信息论,newNode
 随机函数,newNode
 随机变量,newNode
 随机场,newNode
 随机数,newNode
 随机森林,newNode
 ApacheBench,newNode
 Clover,newNode
 IEEE 829,newNode
 ISTQB,newNode
 JUnit,newNode
 Metasploit,newNode
 Portal,newNode
 Robot Framework,newNode
 SDET,newNode
 Security AppScan,newNode
 TestLink,newNode
 TrendLabs,newNode
 TTCN-3,newNode
 TTCN,newNode
 修改条件判断覆盖,newNode
 伪翻译,newNode
 决策到决策路径,newNode
 十六进制转储,newNode
 协议实现一致性声明,newNode
 单元测试,newNode
 可用性测试,newNode
 回归测试,newNode
 基于模型的测试,newNode
 探索性测试,newNode
 模拟对象,newNode
 模糊测试,newNode
 测试准则,newNode
 测试平台,newNode
 测试驱动开发,newNode
 浏览器兼容性,newNode
 海森堡bug,newNode
 测试工作,newNode
 测试自动化,newNode
 白盒测试,newNode
 兼容性测试,newNode
 硬件在环,newNode
 系统测试,newNode
 蜕变测试,newNode
 行为驱动开发,newNode
 计算机安全隐患,newNode
 调试,newNode
 数据驱动测试,newNode
 软件可测试性,newNode
 软件测试,newNode
 软件质量,newNode
 轻量级软件测试自动化,newNode
 游戏测试,newNode
 边界案例,newNode
 边角案例,newNode
 关键词驱动测试,newNode
 集成测试,newNode
 黑盒测试,newNode
 Checkstyle,newNode
 Clang,newNode
 Cscope,newNode
 Ctags,newNode
 FindBugs,newNode
 SonarQube,newNode
 ThreadSafe,newNode
 史密斯-沃特曼算法,newNode
 哈密顿-雅可比-贝尔曼方程,newNode
 字符串近似匹配,newNode
 尼德曼-翁施算法,newNode
 最大子数列问题,newNode
 最长公共子串,newNode
 最长公共子序列,newNode
 最长递增子序列,newNode
 粘性解,newNode
 维数灾难,newNode
 维特比算法,newNode
 自动换行,newNode
 莱文斯坦距离,newNode
 贝尔曼方程,newNode
 反向传播算法,newNode
 强化学习,newNode
 径向基函数网络,newNode
 最大期望算法,newNode
 最小冗余特征选择,newNode
 最近邻居法,newNode
 模式识别,newNode
 Guesstimate,newNode
 估计理论,newNode
 估计量的偏差,newNode
 匹配滤波器,newNode
 卡尔曼滤波,newNode
 均方误差,newNode
 广义矩估计,newNode
 数据同化,newNode
 最大似然估计,newNode
 最大后验概率,newNode
 最小均方误差,newNode
 最小方差无偏估计,newNode
 样本方差,newNode
 等级线性模型,newNode
 线性回归,newNode
 线性预测,newNode
 费希尔信息,newNode
 费雪信息,newNode
 互信息,newNode
 交叉熵,newNode
 困惑度,newNode
 条件熵,newNode
 熵 (信息论),newNode
 熵编码法,newNode
 相对熵,newNode
 联合熵,newNode
 自信息,newNode
 李距离,newNode
 汉明距离,newNode
 编辑距离,newNode
 CRIME,newNode
 DriveSpace,newNode
 SDCH,newNode
 Zlib,newNode
 乘码,newNode
 分类向量量化器,newNode
 前置码,newNode
 加壳压缩,newNode
 图像压缩技术,newNode
 压缩失真,newNode
 小波压缩,newNode
 数据压缩,newNode
 有损数据压缩,newNode
 有限状态向量量化器,newNode
 次频带编码,newNode
 编码簿,newNode
 自解压缩文件,newNode
 视频压缩,newNode
 视频压缩图像类型,newNode
 语音编码,newNode
 重复数据删除,newNode
 霍夫曼编码,newNode
 音讯压缩 (格式),newNode
 BLAST (无线通信),newNode
 ROC曲线,newNode
 信号检测理论,newNode
 极小化极大算法,newNode
 最小描述长度,newNode
 柯氏复杂性,newNode
 低密度同位检查累积码,newNode
 低密度奇偶检查码,newNode
 信道编码,newNode
 克拉夫特不等式,newNode
 分布式信源编码,newNode
 分组码,newNode
 喷泉码,newNode
 多项式码,newNode
 奇偶检验矩阵,newNode
 孤子分布,newNode
 对偶码,newNode
 循环码,newNode
 抹除码,newNode
 汉明重量,newNode
 生成矩阵,newNode
 卢比变换码,newNode
 编码理论,newNode
 网络编码,newNode
 置信度传播,newNode
 译码方法,newNode
 非累赘取样编码,newNode
 TCP拥塞控制,newNode
 带宽时延乘积,newNode
 广域网优化,newNode
 显式拥塞通知,newNode
 DidiWiki,newNode
 DokuWiki,newNode
 HDwiki,newNode
 OddMuse,newNode
 PukiWiki,newNode
 SushiWiki,newNode
 Wiki软件,newNode
 Wiki软件比较,newNode
 YukiWiki,newNode
 协同过滤,newNode
 基于Web的分布式编写和版本控制,newNode
 Bitbucket,newNode
 GNU Savannah,newNode
 Google开发人员,newNode
 JavaForge,newNode
 KDESvn,newNode
 Mercurial,newNode
 Monotone,newNode
 SourceForge,newNode
 Subversion,newNode
 Team Foundation Server,newNode
 Time Machine,newNode
 Visual SourceSafe,newNode
 修订标签,newNode
 协作版本系统,newNode
 版本控制软件比较,newNode
 发布版本通知,newNode
 相依性地狱,newNode
 自由软件托管服务比较,newNode
 软件配置管理,newNode
 Coderity,newNode
 MediaWiki,newNode
 Omeka,newNode
 OpenKM,newNode
 TYPO3,newNode
 Zope,newNode
 MojoPortal,newNode
 Umbraco,newNode
 CLSQL,newNode
 HSQLDB,newNode
 PL-SQL,newNode
 SQL,newNode
 SQL语法,newNode
 SQL资料隐码攻击,newNode
 Transact-SQL,newNode
 Windows管理规范查询语言,newNode
 参数化查询,newNode
 数据查询语言,newNode
 视图,newNode
 数据定义语言,newNode
 数据控制语言,newNode
 数据操纵语言,newNode
 Doctrine (PHP),newNode
 MyBatis,newNode
 SQLAlchemy,newNode
 对象关系映射软件列表,newNode
 B树,newNode
 R+树,newNode
 倒排索引,newNode
 Apache Derby,newNode
 Berkeley DB,newNode
 CUBRID,newNode
 Dbm,newNode
 Firebird (数据库),newNode
 InfluxDB,newNode
 Ingres,newNode
 Kexi,newNode
 MariaDB,newNode
 MaxDB,newNode
 Mnesia,newNode
 MySQL,newNode
 OPUS,newNode
 PostgreSQL,newNode
 SQLite,newNode
 Ligier EZ10,newNode
 Mobileye,newNode
 TomTom,newNode
 Waymo,newNode
 自动驾驶汽车,newNode
 先锋6、7、8和9号,newNode
 先锋计划,newNode
 先驱者镀金铝板,newNode
 先驱者0号,newNode
 先驱者10号,newNode
 先驱者11号,newNode
 先驱者1号,newNode
 先驱者2号,newNode
 先驱者3号,newNode
 先驱者4号,newNode
 先驱者5号,newNode
 先驱者H号,newNode
 先驱者P-1(W)号,newNode
 先驱者P-3 (X)号,newNode
 先驱者P-30 (Y)号,newNode
 先驱者P-31(Z)号,newNode
 先驱者金星计划,newNode
 冥王星-古柏带特快车,newNode
 新视野号,newNode
 土卫六－土星系统任务,newNode
 土星大气进入器,newNode
 惠更斯号,newNode
 旅行者1号,newNode
 蜻蜓号,newNode
 阿尔戈号 (探测器),newNode
 ODINUS,newNode
 天王星轨道探测器,newNode
 旅行者2号,newNode
 探索者计划,newNode
 乌呼鲁卫星,newNode
 亚毫米波天文卫星,newNode
 先进成分探测器,newNode
 国际紫外线探测卫星,newNode
 太阳过渡层成像光谱仪卫星,newNode
 威尔金森微波各向异性探测器,newNode
 广域红外线巡天探测卫星,newNode
 拉马第高能太阳光谱成像探测器,newNode
 探险者1号,newNode
 星系演化探测器,newNode
 星际边界探测器,newNode
 核光谱望远镜阵列,newNode
 罗西X射线计时探测器,newNode
 远紫外分光探测器,newNode
 雨燕卫星,newNode
 旅行者金唱片,newNode
 旅行者金唱片内容,newNode
 爱德华·C·斯通,newNode
 月球车,newNode
 火星车,newNode
 MetNet,newNode
 天鹅座宇宙飞船,newNode
 太阳轨道载具,newNode
 月球快递,newNode
 木星冰月探测器,newNode
 木卫二－木星系统任务,newNode
 欧几里得卫星,newNode
 突破摄星,newNode
 其他条件不变,newNode
 只因少了一颗钉,newNode
 多米诺骨牌效应,newNode
 格兰杰因果关系,newNode
 解释,newNode
 向后移植,newNode
 失效评定,newNode
 故障容许度,newNode
 第二系统效应,newNode
 软件质量管理,newNode
 软件熵,newNode
 软件危机,newNode
 软件质量保证,newNode
 长期支持,newNode
 ARIMA模型,newNode
 ARMA模型,newNode
 Lasso算法,newNode
 RATS,newNode
 倾向评分匹配,newNode
 偏最小二乘回归,newNode
 决定系数,newNode
 分位数回归,newNode
 分层广义线性模型,newNode
 可解释变异,newNode
 向量自回归模型,newNode
 多重共线性,newNode
 工具变量,newNode
 广义线性模型,newNode
 曲线拟合,newNode
 最小二乘法,newNode
 泊松回归,newNode
 泰尔－森估算,newNode
 自变量和因变量,newNode
 自回归模型,newNode
 设计矩阵,newNode
 赤池信息量准则,newNode
 回归分析,newNode
 过适,newNode
 逻辑回归,newNode
 零膨胀,newNode
 AMPL,newNode
 COIN-OR,newNode
 GNU线性规划工具集,newNode
 Maple,newNode
 Wolfram Mathematica,newNode
 LQR控制器,newNode
 协态方程,newNode
 哈密顿量 (最佳控制),newNode
 庞特里亚金最大化原理,newNode
 最优控制,newNode
 罗斯π引理,newNode
 起停式控制,newNode
 双设定点控制,newNode
 CYK算法,newNode
 DPLL算法,newNode
 ElGamal加密算法,newNode
 Flood fill,newNode
 ID3算法,newNode
 K-平均算法,newNode
 LALR语法分析器,newNode
 Move-to-front transform,newNode
 Paxos算法,newNode
 PSRS算法,newNode
 Quorum (分布式系统),newNode
 RSA加密算法,newNode
 Tomasulo算法,newNode
 交叉 (遗传算法),newNode
 优先编码器,newNode
 伪代码,newNode
 伯利坎普－韦尔奇算法,newNode
 先进不出,newNode
 先验算法,newNode
 全排列生成算法,newNode
 凸包,newNode
 分治法,newNode
 匹配追踪,newNode
 原地算法,newNode
 启发式搜索,newNode
 回溯法,newNode
 埃拉托斯特尼筛法,newNode
 大英博物馆算法,newNode
 奎因－麦克拉斯基算法,newNode
 密码强度,newNode
 左偏树,newNode
 差异进化算法,newNode
 布斯乘法算法,newNode
 布雷森汉姆直线算法,newNode
 并行排序,newNode
 德卡斯特里奥算法,newNode
 德布尔算法,newNode
 快取文件置换机制,newNode
 数据结构与算法术语列表,newNode
 施特拉森算法,newNode
 星期的计算,newNode
 最小圆覆盖,newNode
 最小生成树,newNode
 最邻近搜索,newNode
 梁友栋-柏世奇算法,newNode
 模糊聚类,newNode
 洗牌交换连接,newNode
 流加密,newNode
 画家算法,newNode
 确定性算法,newNode
 碰撞侦测,newNode
 禁忌搜索,newNode
 秦九韶算法,newNode
 算法,newNode
 算法与数据结构词典,newNode
 算法交易,newNode
 算法导论,newNode
 在线算法,newNode
 线性对数,newNode
 结构归纳法,newNode
 萤火虫算法,newNode
 蚁群算法,newNode
 装置指纹,newNode
 语音算法,newNode
 贪心法,newNode
 速率单调,newNode
 遗传算法,newNode
 量子退火,newNode
 长除法,newNode
 除法器,newNode
 随机抽样一致,newNode
 马尔可夫算法,newNode
 黄金分割搜索,newNode
 MIMO,newNode
 企业信息化,newNode
 信息冗余,newNode
 信息哲学,newNode
 信息瓶颈,newNode
 信息论,newNode
 信源编码定理,newNode
 信道容量,newNode
 克劳德·香农,newNode
 吞吐量,newNode
 哈里·奈奎斯特,newNode
 唯信息论,newNode
 压缩感知,newNode
 对称信道,newNode
 带宽,newNode
 广域信息论,newNode
 引力的熵力假说,newNode
 最小权限原则,newNode
 有噪信道编码定理,newNode
 梅特卡夫定律,newNode
 熵率,newNode
 纳特,newNode
 编码率,newNode
 过采样,newNode
 采样定理,newNode
 量子计算,newNode
 频谱效率,newNode
 Beyond Compare,newNode
 CMS Made Simple,newNode
 CMSimple XH,newNode
 CMSimple,newNode
 Collablog,newNode
 Drupal,newNode
 ENQUIRE,newNode
 Habari,newNode
 Joomla!,newNode
 LocalWiki,newNode
 LogicalDOC,newNode
 Movable Type,newNode
 OpenCMS,newNode
 PivotX,newNode
 Plone,newNode
 SilverStripe,newNode
 SupeSite,newNode
 UCoz,newNode
 WebGUI,newNode
 WikkaWiki,newNode
 WordPress,newNode
 XOOPS Cube,newNode
 XOOPS,newNode
 XWiki,newNode
 Zikula,newNode
 内容管理系统,newNode
 内容管理系统列表,newNode
 曼波,newNode
 Sci-Hub,newNode
 Yelp,newNode
 推荐系统,newNode
 烂西红柿,newNode
 Adaptive Server Enterprise,newNode
 Borland数据引擎,newNode
 IBM DB2,newNode
 InterBase,newNode
 LibreOffice Base,newNode
 Mckoi Database,newNode
 Microsoft Access,newNode
 Microsoft SQL Server,newNode
 OpenOffice.org Base,newNode
 Oracle数据库,newNode
 RAC,newNode
 SAP HANA,newNode
 Spanner (数据库),newNode
 SQL Server Express,newNode
 Windows Internal Database,newNode
 乐观并发控制,newNode
 二进制大型对象,newNode
 关系 (数据库),newNode
 关系型数据库管理系统比较,newNode
 关系键,newNode
 列式数据库,newNode
 字符大型对象,newNode
 存储程序,newNode
 悲观并发控制,newNode
 数据冗余,newNode
 数据库管理员,newNode
 数据库管理系统,newNode
 数据库索引,newNode
 时间数据库,newNode
 数据库理论,newNode
 关系数据库管理系统,newNode
 Microsoft Project,newNode
 Odoo,newNode
 Windows管理规范,newNode
 WINGs Display Manager,newNode
 XMind,newNode
 主管支持系统,newNode
 产品生命周期管理 (市场),newNode
 企业资源计划,newNode
 供货商管理库存系统,newNode
 保险应用架构,newNode
 决策支持系统,newNode
 制造资源计划,newNode
 商业过程管理,newNode
 客户关系管理,newNode
 工作流技术,newNode
 收益管理,newNode
 案例推论,newNode
 楼盘管理系统,newNode
 知识管理系统,newNode
 策略信息系统,newNode
 管理信息系统,newNode
 信息安全管理系统,newNode
 计算机整合制造,newNode
 Ad-Aware,newNode
 AutoRun,newNode
 BartPE,newNode
 CrossOver,newNode
 Driver Booster,newNode
 EasyInstall,newNode
 EXeScope,newNode
 Gearman,newNode
 PlayOnLinux,newNode
 R-Studio,newNode
 Spybot-S&D,newNode
 TuneUp Utilities,newNode
 Windows优化大师,newNode
 Windows预安装环境,newNode
 Wise Care 365,newNode
 Wise Disk Cleaner,newNode
 Wise Registry Cleaner,newNode
" Yellowdog Updater, Modified",newNode
 易搜比软件,newNode
 服务器,newNode
 服务包,newNode
 申根信息系统,newNode
 监督程序,newNode
 直译器,newNode
 系统程序设计,newNode
 系统软件,newNode
 网络信息服务,newNode
 网页服务器,newNode
 翻译程序,newNode
 虚拟主机,newNode
 屏幕保护,newNode
 超级兔子,newNode
 软件包管理系统,newNode
 还原光盘,newNode
 鲁大师,newNode
 卡方分布,newNode
 多元正态分布,newNode
 德国坦克问题,newNode
 条件概率分布,newNode
 柯西分布,newNode
 概率分布,newNode
 正态分布,newNode
 稳定分布,newNode
 退化分布,newNode
 离散型均匀分布,newNode
 伊瓦尔·雅各布布布森,newNode
 对象管理组织,newNode
 用例图,newNode
 系统建模语言,newNode
 葛来迪·布区,newNode
 詹姆士·兰宝,newNode
 中国机器人,newNode
 中国科研潜艇,newNode
 中国空间探测器,newNode
 AIBO,newNode
 ASIMO,newNode
 HAL (动力服),newNode
 HRP-4C,newNode
 Kirobo,newNode
 Pepper (机器人),newNode
 QRIO,newNode
 Sota (机器人),newNode
 日本机器人,newNode
 Kismet,newNode
 约翰霍普金斯野兽,newNode
 美国机器人,newNode
 美国太空总署探测器(子分类),newNode
 骑士视界 (机器人),newNode
 先行者,newNode
 全国大学生机器人大赛,newNode
 主动雷达导引,newNode
 乘波导引,newNode
 全球定位系统,newNode
 半主动雷达制导,newNode
 圆概率误差,newNode
 导弹制导,newNode
 射后不理,newNode
 惯性导航系统,newNode
 瞄准线半自动指令,newNode
 瞄准线指令,newNode
 红外线导引,newNode
 ADM-20诱饵无人机,newNode
 IAI豹,newNode
 MQ-1捕食者无人攻击机,newNode
 MQ-8火力侦察兵无人机,newNode
 MQ-9收割者侦察机,newNode
 P.1HH锤头无人机,newNode
 RQ-11渡鸦式无人侦察机,newNode
 RQ-170侦查机,newNode
 RQ-4全球鹰侦察机,newNode
 SR-72侦察机,newNode
 X-33试验机,newNode
 X-43试验机,newNode
 X-47A飞马试验机,newNode
 X-51乘波者试验机,newNode
 云影无人机,newNode
 候鸟无人机,newNode
 利剑无人作战飞机,newNode
 各国多轴飞行器监管情况,newNode
 哈比无人机,newNode
 复仇者无人驾驶战斗机,newNode
 大疆 Mavic Pro,newNode
 大疆精灵4,newNode
 奥拉无人作战飞机,newNode
 彩虹五号无人机,newNode
 扫描鹰无人机,newNode
 搜索者侦察机,newNode
 暗剑无人机,newNode
 泽弗,newNode
 海上战术侦搜大队,newNode
 无人地面载具,newNode
 无人战斗航空载具,newNode
 无人机,newNode
 无人水下载具,newNode
 无人水面载具,newNode
 无人航空载具,newNode
 神经元无人作战飞机,newNode
 红雀微型无人机,newNode
 翔龙无人机,newNode
 翼龙系列无人机,newNode
 自主水下载具,newNode
 赫耳墨斯900,newNode
 遥控飞机,newNode
 锐鸢无人机,newNode
 雷神无人机,newNode
 腾云无人机,newNode
 高超音速武器,newNode
 鳐鱼无人机,newNode
 大疆创新,newNode
 经纬航天,newNode
 海神号 (水下航行器),newNode
 遥控潜水器,newNode
 能量自律战术机器,newNode
 遥控战车,newNode
 龙行者,newNode
 MAVEN,newNode
 信使号,newNode
 土星探测,newNode
 天王星探测,newNode
 斯基亚帕雷利EDM登陆器,newNode
 新视野二号,newNode
 木星探测,newNode
 朱诺号,newNode
 水手10号,newNode
 水手3号,newNode
 水手4号,newNode
 水手5号,newNode
 水手6号,newNode
 水手7号,newNode
 水手8号,newNode
 水手9号,newNode
 水手号计划,newNode
 海王星探测,newNode
 火星微量气体任务卫星,newNode
 福布斯－土壤,newNode
 空间探测器,newNode
 航海家计划,newNode
 起源号,newNode
 30毫米DS30M Mk 2小口径机炮,newNode
 哥利亚遥控炸弹,newNode
 守门员近迫武器系统,newNode
 拆弹机械人,newNode
 方阵近迫武器系统,newNode
 木牛流马,newNode
 机械骡,newNode
 波士顿机械狗,newNode
 Prolog,newNode
